damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
1260.15,5,4,21:30:00,2019,기타,산171,남양,강릉,옥계,강원,4,목요일,4,23:46:00,2019
1,5,4,20:00:00,2019,주택화재비화,512-1(임),관산,고양,덕양,경기,5,금요일,4,14:12:00,2019
0.15,6,4,16:00:00,2019,입산자실화,산56,명례,기장,장안,부산,6,토요일,4,11:38:00,2019
2,6,4,22:00:00,2019,기타,산79,신방,영천,자양,경북,6,토요일,4,13:27:00,2019
1.02,7,4,8:40:00,2019,입산자실화,산163,녹동,경주,외동,경북,7,일요일,4,6:21:00,2019
0.1,8,4,16:44:00,2019,쓰레기소각,산38-1,문암,음성,원남,충북,8,월요일,4,15:16:00,2019
0.06,8,4,15:10:00,2019,기타,산55-1,장동,이천,신둔,경기,8,월요일,4,13:14:00,2019
0.01,7,4,14:35:00,2019,입산자실화,산52-1,대백,창원,진해,경남,7,일요일,4,13:53:00,2019
0.1,4,4,23:00:00,2019,기타,산42,송전,용인,이동,경기,4,목요일,4,20:14:00,2019
0.1,6,4,13:20:00,2019,기타,산247,옥적,여수,화양,전남,6,토요일,4,11:30:00,2019
0.01,19,4,18:37:00,2019,담뱃불실화,산57,이매,성남,분당,경기,19,금요일,4,18:20:00,2019
0.04,16,4,15:30:00,2019,쓰레기소각,산107-1,,김포,풍무,경기,16,화요일,4,12:11:00,2019
0.06,13,4,17:30:00,2019,기타,산201-1,,남양주,별내,경기,13,토요일,4,15:12:00,2019
0.16,9,4,14:17:00,2019,담뱃불실화,산86-1,고모,포천,소흘,경기,9,화요일,4,13:08:00,2019
0.8,8,4,15:22:00,2019,기타,산25,장속,보은,보은,충북,8,월요일,4,12:04:00,2019
0.01,6,4,18:20:00,2019,기타,산11,정,문경,마성,경북,6,토요일,4,17:14:00,2019
2,17,4,22:00:00,2019,기타,산6-2,장죽,안성,금광,경기,17,수요일,4,14:29:00,2019
0.05,4,4,22:20:00,2019,기타,산145,성대,진천,백곡,충북,4,목요일,4,20:51:00,2019
0.02,18,4,17:00:00,2019,기타,산13,,남,이장,광주,18,목요일,4,16:29:00,2019
0.02,17,4,17:00:00,2019,기타,산96-1,백석,연천,미산,경기,17,수요일,4,13:41:00,2019
0.1,17,4,16:20:00,2019,쓰레기소각,산137,관하,청도,매전,경북,17,수요일,4,13:17:00,2019
0.03,16,4,13:00:00,2019,기타,산138,오,기장,장안,부산,16,화요일,4,12:08:00,2019
1.2,16,4,6:10:00,2019,주택화재비화,산76-1,제내,경주,외동,경북,15,월요일,4,22:15:00,2019
0.03,13,4,16:50:00,2019,기타,01월 24일,사기소,당진,면천,충남,13,토요일,4,14:29:00,2019
0.03,13,4,14:00:00,2019,기타,산41-15,학현,평택,안중,경기,13,토요일,4,12:53:00,2019
0.01,9,4,12:30:00,2019,쓰레기소각,산51-4,정곡,진안,진안,전북,9,화요일,4,11:30:00,2019
0.09,8,4,19:10:00,2019,기타,산2-1,,하남,초일,경기,8,월요일,4,18:30:00,2019
1,7,4,19:30:00,2019,기타,산25,광전,예천,유천,경북,7,일요일,4,16:30:00,2019
0.1,7,4,17:30:00,2019,기타,산153-1,,노원,상계,서울,7,일요일,4,15:07:00,2019
0.1,6,4,15:55:00,2019,기타,산49-10,삼덕,상주,사벌,경북,6,토요일,4,14:57:00,2019
0.01,6,4,14:32:00,2019,입산자실화,산197-2,남송,포항,흥해,경북,6,토요일,4,13:29:00,2019
0.01,6,4,10:37:00,2019,입산자실화,산125-1,,수성,이천,대구,6,토요일,4,9:59:00,2019
0.1,5,4,16:20:00,2019,기타,산52,용계,영천,북안,경북,5,금요일,4,15:15:00,2019
1266.62,5,4,18:00:00,2019,기타,산89-2,원암,고성,토성,강원,4,목요일,4,19:17:00,2019
0.05,19,4,19:30:00,2019,입산자실화,산31-38,관성,천안,병천,충남,19,금요일,4,18:09:00,2019
0.03,20,4,15:30:00,2019,입산자실화,산102,고성,춘천,사북,강원,20,토요일,4,12:27:00,2019
0.03,8,4,14:45:00,2019,기타,산60-21,구수,안성,미양,경기,8,월요일,4,13:37:00,2019
0.03,6,4,13:00:00,2019,기타,163-2,도산,당진,정미,충남,6,토요일,4,11:30:00,2019
0.1,6,4,13:00:00,2019,기타,산136,화산,영천,화산,경북,6,토요일,4,12:09:00,2019
2,7,4,2:30:00,2019,입산자실화,산45,상원,달성,가창,대구,6,토요일,4,20:28:00,2019
0.3,7,4,12:21:00,2019,기타,산62,와석,영월,김삿갓,강원,7,일요일,4,10:39:00,2019
0.01,8,4,14:30:00,2019,주택화재비화,산24-1,창기,태안,안면,충남,8,월요일,4,12:32:00,2019
0.7,9,4,17:00:00,2019,기타,산178외 3필지,엄소,가평,설악,경기,9,화요일,4,13:18:00,2019
0.3,12,4,14:42:00,2019,쓰레기소각,산14-1외3필,월오,청주,상당,충북,12,금요일,4,13:39:00,2019
0.01,13,4,16:45:00,2019,쓰레기소각,06월 05일,,보령,남곡,충남,13,토요일,4,15:57:00,2019
0.1,15,4,16:21:00,2019,입산자실화,산1-3,미원,청주,미원,충북,15,월요일,4,15:38:00,2019
1.5,16,4,15:33:00,2019,기타,산2-1외25필,,유성,대정,대전,16,화요일,4,13:40:00,2019
0.05,16,4,19:00:00,2019,입산자실화,산129-1,삼전,논산,가야곡,충남,16,화요일,4,17:14:00,2019
0.12,17,4,17:40:00,2019,기타,산151-265외3필,문호,양평,서종,경기,17,수요일,4,14:57:00,2019
0.1,18,4,13:43:00,2019,기타,산140,홍계,포항,대송,경북,18,목요일,4,10:53:00,2019
0.03,20,4,12:00:00,2019,기타,산3,구왕,공주,계룡,충남,20,토요일,4,10:12:00,2019
3.6,5,4,12:00:00,2019,기타,산43-2,대각,포항,대송,경북,5,금요일,4,2:50:00,2019
0.6,8,4,17:00:00,2019,기타,산34-2,정자,성남,분당,경기,8,월요일,4,13:34:00,2019
1.5,9,4,13:59:00,2019,담뱃불실화,산113-1,동천,평택,진위,경기,9,화요일,4,11:15:00,2019
0.01,7,4,16:40:00,2019,쓰레기소각,214-1,동천,평택,진위,경기,7,일요일,4,16:25:00,2019
0.04,7,4,14:10:00,2019,기타,산1-11,대자,고양,덕양,경기,7,일요일,4,13:22:00,2019
0.5,6,4,17:40:00,2019,입산자실화,산41,치산,영천,신녕,경북,6,토요일,4,13:45:00,2019
0.01,5,4,16:50:00,2019,담뱃불실화,산107,중촌,산청,신안,경남,5,금요일,4,15:57:00,2019
0.01,20,4,12:55:00,2019,기타,9임,존도,문경,산양,경북,20,토요일,4,12:07:00,2019
0.05,17,4,23:30:00,2019,입산자실화,산68,,동,도,대구,17,수요일,4,20:49:00,2019
0.01,16,4,18:20:00,2019,입산자실화,산278,초곡,창녕,장마,경남,16,화요일,4,17:01:00,2019
0.02,22,4,12:40:00,2018,기타,산57,마,안동,임동,경북,22,일요일,4,11:03:00,2018
0.01,22,4,16:23:00,2018,입산자실화,산46-1,성내,제천,금성,충북,22,일요일,4,15:16:00,2018
3,21,4,23:00:00,2018,입산자실화,산18-1,합강,인제,인제,강원,21,토요일,4,11:35:00,2018
0.01,27,4,15:00:00,2018,입산자실화,산1-4,,남동,만수,인천,27,금요일,4,12:56:00,2018
0.02,30,4,7:50:00,2018,입산자실화,산91,감곡,사천,정동,경남,30,월요일,4,6:34:00,2018
0.03,29,4,17:48:00,2018,기타,산10-2,,대덕,와,대전,29,일요일,4,16:11:00,2018
0.02,30,4,15:50:00,2018,입산자실화,산48-1,장선,완주,운주,전북,30,월요일,4,14:09:00,2018
0.01,29,4,16:20:00,2018,입산자실화,산21,가당,무주,부남,전북,29,일요일,4,15:02:00,2018
0.15,29,4,18:00:00,2018,입산자실화,산11-2,석수,안양,만안,경기,29,일요일,4,14:56:00,2018
0.1,29,4,16:42:00,2018,입산자실화,산78-1,선교,상주,화동,경북,29,일요일,4,15:29:00,2018
0.1,28,4,15:50:00,2018,기타,산6-1외1개소,용각,안동,일직,경북,28,토요일,4,13:52:00,2018
0.4,1,5,20:30:00,2018,입산자실화,산141외4필지,팔산,고령,운수,경북,1,화요일,5,15:42:00,2018
40.05,28,3,22:00:00,2018,기타,산19,탑동,고성,간성,강원,28,수요일,3,6:19:00,2018
0.02,11,5,15:30:00,2018,기타,산332-2,청도,김제,금산,전북,11,금요일,5,14:05:00,2018
0.2,22,5,14:00:00,2018,입산자실화,산15-3,송생,청송,청송,경북,22,화요일,5,10:41:00,2018
0.07,1,6,12:30:00,2018,주택화재비화,산55,조평,공주,신풍,충남,1,금요일,6,10:40:00,2018
0.01,1,6,18:00:00,2018,입산자실화,산32-1,발산,춘천,신북,강원,1,금요일,6,14:30:00,2018
0.1,3,6,15:45:00,2018,입산자실화,산4,노동,경주,감포,경북,3,일요일,6,14:05:00,2018
0.03,3,6,22:30:00,2018,기타,산56,,중랑,면목,서울,3,일요일,6,17:14:00,2018
0.01,3,6,14:30:00,2018,입산자실화,산98외,오봉,보성,득량,전남,3,일요일,6,12:40:00,2018
0.05,2,6,14:50:00,2018,기타,산17-1,,금정,노포,부산,2,토요일,6,13:14:00,2018
0.03,1,6,22:00:00,2018,주택화재비화,산180-2,신원,양평,양서,경기,1,금요일,6,19:55:00,2018
0.01,4,6,14:00:00,2018,기타,산11-96,,서대문,홍은,서울,4,월요일,6,11:04:00,2018
0.01,2,6,12:23:00,2018,기타,산125-10,,노원,월계,서울,2,토요일,6,9:13:00,2018
0.02,5,6,11:20:00,2018,입산자실화,산8,금지,부여,내산,충남,5,화요일,6,9:40:00,2018
0.08,9,6,11:40:00,2018,입산자실화,260-1(임),원평,화성,매송,경기,9,토요일,6,10:10:00,2018
0.02,7,6,15:25:00,2018,기타,산21-1,,은평,수색,서울,7,목요일,6,14:46:00,2018
0.02,10,6,14:30:00,2018,입산자실화,산49,화양,장수,계남,전북,10,일요일,6,12:16:00,2018
0.01,15,6,19:30:00,2018,입산자실화,산104,하산,장흥,장동,전남,15,금요일,6,16:45:00,2018
0.16,17,6,0:17:00,2018,기타,산23-5,금암,장군,장군,세종,16,토요일,6,20:34:00,2018
0.01,17,6,17:00:00,2018,입산자실화,산4-1,녹천,공주,유구,충남,17,일요일,6,14:45:00,2018
0.03,18,6,14:45:00,2018,기타,산72,조탑,안동,일직,경북,18,월요일,6,13:20:00,2018
0.01,21,6,14:00:00,2018,쓰레기소각,산13-2,남계,칠곡,약목,경북,21,목요일,6,11:59:00,2018
0.02,21,6,17:00:00,2018,기타,산130,광암,담양,월산,전남,21,목요일,6,15:20:00,2018
0.01,21,6,18:00:00,2018,입산자실화,산79,오룡,청양,대치,충남,21,목요일,6,17:00:00,2018
0.15,22,6,7:14:00,2018,입산자실화,산6-7,노현,청주,문의,충북,22,금요일,6,3:44:00,2018
0.02,21,6,15:45:00,2018,입산자실화,산161,용곡,장성,장성,전남,21,목요일,6,13:20:00,2018
0.02,21,6,16:05:00,2018,입산자실화,산13-28,죽천,포항,흥해,경북,21,목요일,6,14:49:00,2018
0.3,23,6,15:08:00,2018,기타,산50,신왕,김천,조마,경북,23,토요일,6,13:14:00,2018
0.02,23,6,15:50:00,2018,입산자실화,산88,금산,칠곡,왜관,경북,23,토요일,6,11:50:00,2018
0.02,23,6,20:00:00,2018,입산자실화,산80,덕남,함안,칠북,경남,23,토요일,6,17:00:00,2018
0.01,23,6,18:50:00,2018,입산자실화,산83,돈대,영동,상촌,충북,23,토요일,6,17:19:00,2018
0.05,24,6,14:30:00,2018,입산자실화,산54-1,덕산,장수,장수,전북,24,일요일,6,12:20:00,2018
0.03,24,6,17:00:00,2018,입산자실화,산111,수원,거창,신원,경남,24,일요일,6,12:53:00,2018
3,24,6,22:00:00,2018,입산자실화,"산7,8",천촌,경주,서,경북,24,일요일,6,14:30:00,2018
0.02,24,6,17:00:00,2018,입산자실화,산16-1,퇴로,밀양,부북,경남,24,일요일,6,15:25:00,2018
0.01,24,6,16:30:00,2018,기타,산13-28,죽천,포항,흥해,경북,24,일요일,6,15:51:00,2018
1,24,6,20:00:00,2018,입산자실화,산47,화동,홍천,북방,강원,24,일요일,6,16:42:00,2018
0.01,23,6,23:30:00,2018,입산자실화,산37-1,관대,인제,남,강원,22,금요일,6,18:02:00,2018
0.05,22,6,19:30:00,2018,입산자실화,산2-1,원,양구,남,강원,22,금요일,6,15:00:00,2018
0.01,22,6,16:05:00,2018,쓰레기소각,산79,달계,청주,현도,충북,22,금요일,6,14:57:00,2018
0.07,23,6,17:20:00,2018,쓰레기소각,산168,온혜,안동,도산,경북,23,토요일,6,14:55:00,2018
0.05,22,6,16:05:00,2018,기타,산58,,구미,광평,경북,22,금요일,6,14:00:00,2018
0.02,25,6,10:10:00,2018,입산자실화,산24-4,손곡,함양,유림,경남,25,월요일,6,9:28:00,2018
0.1,22,6,14:45:00,2018,입산자실화,산37-1,연탄,증평,증평,충북,22,금요일,6,13:10:00,2018
0.01,23,6,20:00:00,2018,입산자실화,산261,추곡,춘천,북산,강원,23,토요일,6,14:20:00,2018
0.25,24,6,20:00:00,2018,입산자실화,산46-1,화상대,홍천,내촌,강원,24,일요일,6,17:30:00,2018
0.02,22,6,16:30:00,2018,입산자실화,산23-1,두만,공주,의당,충남,22,금요일,6,14:00:00,2018
0.06,25,6,17:44:00,2018,기타,산113,노,고령,덕곡,경북,25,월요일,6,15:43:00,2018
0.02,26,6,11:20:00,2018,기타,산26,흥안,포항,흥해,경북,26,화요일,6,10:31:00,2018
0.01,17,7,13:50:00,2018,기타,산87,일봉,보성,복내,전남,17,화요일,7,12:30:00,2018
0.05,17,7,14:40:00,2018,기타,산24-1,양산,논산,벌곡,충남,17,화요일,7,12:05:00,2018
0.05,24,7,15:30:00,2018,기타,산31,노성,진안,안천,전북,24,화요일,7,12:50:00,2018
0.01,24,7,18:30:00,2018,기타,산132,행화,영양,청기,경북,24,화요일,7,16:46:00,2018
0.01,23,7,15:51:00,2018,기타,산17-1,수원,영동,매곡,충북,23,월요일,7,14:38:00,2018
0.02,21,7,19:20:00,2018,기타,산33,삼방,옥천,청산,충북,21,토요일,7,14:38:00,2018
0.06,29,7,16:40:00,2018,기타,200-4임,대양,김천,감문,경북,29,일요일,7,15:15:00,2018
0.06,29,7,19:20:00,2018,입산자실화,산5-1,부곡,안산,상록,경기,29,일요일,7,16:50:00,2018
0.01,29,7,19:00:00,2018,기타,산88,가정,춘천,남,강원,29,일요일,7,13:48:00,2018
0.01,28,7,10:40:00,2018,입산자실화,산81-1,월계,담양,용,전남,28,토요일,7,9:00:00,2018
1.5,29,7,15:00:00,2018,기타,산67-1,양전,고령,개진,경북,29,일요일,7,10:15:00,2018
0.01,30,7,11:00:00,2018,입산자실화,산8,,군포,속달,경기,30,월요일,7,9:19:00,2018
0.3,30,7,16:30:00,2018,입산자실화,산120,,군산,소룡,전북,30,월요일,7,13:05:00,2018
0.05,31,7,13:30:00,2018,입산자실화,산49-15,이촌,청송,진보,경북,31,화요일,7,11:20:00,2018
0.2,31,7,17:21:00,2018,기타,산106-2,정산,원주,부론,강원,31,화요일,7,15:04:00,2018
0.1,2,8,15:40:00,2018,입산자실화,산108-4,신전,장수,계남,전북,2,목요일,8,12:30:00,2018
0.4,2,8,19:00:00,2018,입산자실화,산21-1,,공주,신기,충남,2,목요일,8,10:02:00,2018
0.03,2,8,17:15:00,2018,입산자실화,산33-1,상남,울주,청량,울산,2,목요일,8,16:10:00,2018
0.01,2,8,18:00:00,2018,입산자실화,산36,황계,합천,용주,경남,2,목요일,8,15:19:00,2018
0.1,1,8,13:00:00,2018,기타,산1-1,품걸,춘천,동,강원,1,수요일,8,8:51:00,2018
0.3,3,8,13:10:00,2018,입산자실화,산131,정금,횡성,우천,강원,3,금요일,8,10:28:00,2018
0.01,2,8,22:00:00,2018,기타,산43-1,부곡,안산,상록,경기,2,목요일,8,19:00:00,2018
0.03,5,8,18:10:00,2018,입산자실화,산13-1,월운,홍천,동,강원,5,일요일,8,16:35:00,2018
0.01,5,8,15:00:00,2018,기타,산27-47,병옥,영양,입암,경북,5,일요일,8,13:48:00,2018
0.3,5,8,14:10:00,2018,쓰레기소각,산23,상화,의성,단촌,경북,5,일요일,8,10:46:00,2018
0.05,4,8,18:32:00,2018,입산자실화,산39,빙계,의성,춘산,경북,4,토요일,8,16:40:00,2018
0.01,6,8,14:00:00,2018,입산자실화,산119,사정,산청,신등,경남,4,토요일,8,10:24:00,2018
0.5,4,8,9:30:00,2018,쓰레기소각,산184,중,울주,청량,울산,4,토요일,8,5:40:00,2018
0.02,5,8,19:33:00,2018,입산자실화,산92-1,고단,강릉,왕산,강원,5,일요일,8,18:28:00,2018
0.5,6,8,19:20:00,2018,기타,640-3,청천,무안,청계,전남,6,월요일,8,16:00:00,2018
0.02,7,8,16:30:00,2018,기타,산31,향소,양평,단월,경기,7,화요일,8,14:51:00,2018
0.05,8,8,16:00:00,2018,주택화재비화,산20-1,대평,고성,고성,경남,8,수요일,8,12:14:00,2018
0.08,9,8,18:50:00,2018,입산자실화,산78-10,안용,상주,이안,경북,9,목요일,8,16:30:00,2018
3,9,8,16:40:00,2018,기타,산66-5,이진,울주,온산,울산,9,목요일,8,9:50:00,2018
0.01,9,8,16:17:00,2018,기타,산29-1,,수영,민락,부산,9,목요일,8,15:42:00,2018
0.23,12,8,14:40:00,2018,입산자실화,산1-4,,군포,둔대,경기,12,일요일,8,11:00:00,2018
0.01,16,8,9:00:00,2018,입산자실화,산41-29,팔곡1,안산,상록,경기,16,목요일,8,6:50:00,2018
0.25,15,8,14:00:00,2018,입산자실화,산201,상안,횡성,안흥,강원,15,수요일,8,12:20:00,2018
5,16,8,9:00:00,2018,기타,산2-2,두북,군위,우보,경북,15,수요일,8,12:30:00,2018
0.06,15,8,16:00:00,2018,기타,산3,반촌,공주,우성,충남,15,수요일,8,13:00:00,2018
0.1,15,8,19:52:00,2018,입산자실화,산129,화암,청양,화성,충남,15,수요일,8,16:00:00,2018
0.3,16,8,9:00:00,2018,입산자실화,"산11-4,9",석수,안양,만안,경기,15,수요일,8,18:33:00,2018
0.2,17,8,19:00:00,2018,기타,산28,왕창,양평,강하,경기,17,금요일,8,13:00:00,2018
0.01,19,8,16:00:00,2018,입산자실화,산33,도북,함양,수동,경남,19,일요일,8,9:42:00,2018
0.01,18,8,16:00:00,2018,기타,산9-13,궁산,고창,심원,전북,18,토요일,8,13:10:00,2018
0.01,18,8,18:48:00,2018,기타,산16,운산,나주,동강,전남,18,토요일,8,16:25:00,2018
1,18,8,17:30:00,2018,담뱃불실화,산38-1,용복,전주,완산,전북,18,토요일,8,14:28:00,2018
0.01,18,8,14:00:00,2018,입산자실화,산38-1,장암,상주,화북,경북,18,토요일,8,11:04:00,2018
0.01,20,8,13:35:00,2018,기타,산79-1,어은,화성,장안,경기,20,월요일,8,12:23:00,2018
0.5,17,8,18:20:00,2018,입산자실화,산33외11,월곡,춘천,동,강원,17,금요일,8,13:46:00,2018
0.01,19,8,16:20:00,2018,기타,산45,덕촌,단양,대강,충북,19,일요일,8,16:00:00,2018
0.01,19,8,18:17:00,2018,기타,산27-2,,김제,서암,전북,19,일요일,8,16:35:00,2018
0.5,19,8,18:00:00,2018,입산자실화,산11-2,석수,안양,만안,경기,18,토요일,8,23:59:00,2018
0.01,18,8,15:32:00,2018,기타,산20,마진도,신안,장산,전남,18,토요일,8,12:55:00,2018
0.02,19,8,18:30:00,2018,기타,산23-2,득암,완도,약산,전남,19,일요일,8,16:35:00,2018
0.01,19,8,15:40:00,2018,쓰레기소각,산63-1,월용,청주,미원,충북,19,일요일,8,13:40:00,2018
0.01,19,8,17:20:00,2018,기타,산122-3,조곡,괴산,장연,충북,19,일요일,8,14:20:00,2018
0.05,18,8,19:23:00,2018,입산자실화,산31-1,문암,보은,산외,충북,18,토요일,8,18:01:00,2018
0.01,22,8,16:16:00,2018,기타,산14-2,남전,영동,양강,충북,22,수요일,8,15:31:00,2018
0.06,22,8,11:02:00,2018,입산자실화,산16,,강서,미음,부산,22,수요일,8,9:14:00,2018
0.01,22,8,18:00:00,2018,쓰레기소각,산27,완창,완주,운주,전북,22,수요일,8,16:12:00,2018
0.04,11,9,17:30:00,2018,기타,산113,화대,포천,일동,경기,11,화요일,9,13:33:00,2018
0.2,25,9,18:45:00,2018,기타,산103,소야,옹진,덕적,인천,25,화요일,9,11:56:00,2018
0.01,30,9,17:30:00,2018,입산자실화,산167,대전,상주,외서,경북,30,일요일,9,15:00:00,2018
0.01,2,10,13:40:00,2018,입산자실화,산72-1,봉학,성주,벽진,경북,2,화요일,10,11:45:00,2018
0.01,4,10,15:20:00,2018,입산자실화,산226-1,남전,인제,남,강원,4,목요일,10,13:30:00,2018
0.01,3,10,16:30:00,2018,기타,산63,이동,보성,율어,전남,3,수요일,10,14:35:00,2018
0.03,4,10,9:00:00,2018,주택화재비화,산3-14,,종로,옥인,서울,4,목요일,10,3:51:00,2018
0.1,18,10,15:40:00,2018,입산자실화,산56-2,신곡,고령,쌍림,경북,18,목요일,10,11:47:00,2018
0.1,20,10,19:36:00,2018,기타,산128-1,반곡,상주,화동,경북,20,토요일,10,16:50:00,2018
0.01,20,10,16:00:00,2018,입산자실화,산54-33,,남,대연,부산,20,토요일,10,14:56:00,2018
0.05,23,10,8:00:00,2018,기타,산149,진촌,옹진,백령,인천,22,월요일,10,18:30:00,2018
0.1,31,10,13:50:00,2018,입산자실화,산55-2,여래미,예산,신양,충남,31,수요일,10,12:20:00,2018
0.01,13,11,16:00:00,2018,기타,산274,추암,장성,서삼,전남,13,화요일,11,12:40:00,2018
0.02,15,11,13:38:00,2018,기타,산3-14,,종로,옥인,서울,15,목요일,11,13:11:00,2018
0.06,19,11,18:00:00,2018,쓰레기소각,산5,대석,양평,강상,경기,19,월요일,11,15:45:00,2018
0.1,20,11,17:30:00,2018,기타,산53,제령,가평,북,경기,20,화요일,11,15:50:00,2018
0.01,22,11,18:30:00,2018,기타,산149-50,,해운대,우,부산,22,목요일,11,16:47:00,2018
0.3,22,11,18:20:00,2018,기타,산72-1,하송,순천,낙안,전남,22,목요일,11,15:33:00,2018
0.1,22,11,15:25:00,2018,입산자실화,산487,자등,철원,서,강원,22,목요일,11,14:24:00,2018
0.1,23,11,11:20:00,2018,쓰레기소각,산1,초곡,삼척,근덕,강원,23,금요일,11,9:52:00,2018
0.03,26,11,7:25:00,2018,기타,산17-5,초곡,삼척,근덕,강원,26,월요일,11,6:30:00,2018
0.01,26,11,13:01:00,2018,입산자실화,산119-21,,거제,옥포,경남,26,월요일,11,11:49:00,2018
0.4,28,11,5:00:00,2018,입산자실화,산172,구복,창원,구산,경남,27,화요일,11,23:37:00,2018
0.1,29,11,16:13:00,2018,쓰레기소각,산156,귀호,영천,화남,경북,29,목요일,11,14:50:00,2018
0.01,29,11,12:44:00,2018,기타,산34,대문,진천,백곡,충북,29,목요일,11,12:14:00,2018
0.2,2,12,15:00:00,2018,입산자실화,산141-1,사봉,완주,동상,전북,2,일요일,12,12:42:00,2018
0.06,1,12,13:40:00,2018,기타,산128-1,,노원,월계,서울,1,토요일,12,10:29:00,2018
0.05,1,12,6:40:00,2018,기타,산4-5,,강서,내발산,서울,1,토요일,12,3:46:00,2018
0.01,5,12,18:50:00,2018,기타,산72,황막,강진,옴천,전남,5,수요일,12,16:58:00,2018
0.01,10,12,11:00:00,2018,쓰레기소각,산103-120,,안양,안양,경기,10,월요일,12,10:05:00,2018
0.02,14,12,15:30:00,2018,쓰레기소각,산106-1,당인,완도,군외,전남,14,금요일,12,12:50:00,2018
0.01,17,12,20:45:00,2018,기타,산3,,순천,남정,전남,17,월요일,12,19:15:00,2018
0.01,19,12,17:30:00,2018,담뱃불실화,산38,,부평,십정,인천,19,수요일,12,16:35:00,2018
0.16,21,12,3:00:00,2018,쓰레기소각,산148,용소,기장,장안,부산,20,목요일,12,23:21:00,2018
0.01,21,12,13:48:00,2018,기타,산3-1,양덕,포항,북,경북,21,금요일,12,13:17:00,2018
0.01,22,12,14:00:00,2018,입산자실화,산100-1,옥림,거제,일운,경남,22,토요일,12,11:45:00,2018
0.05,22,12,15:30:00,2018,쓰레기소각,산18임,척천,평창,진부,강원,22,토요일,12,14:17:00,2018
0.02,25,12,21:00:00,2018,기타,산50,,중랑,망우,서울,25,화요일,12,18:59:00,2018
0.2,23,12,17:10:00,2018,쓰레기소각,산18-1,옥전,예산,봉산,충남,23,일요일,12,15:34:00,2018
0.1,19,12,15:20:00,2018,쓰레기소각,195-4,옹암,홍성,광천,충남,19,수요일,12,13:44:00,2018
0.3,23,12,20:45:00,2018,입산자실화,산30,,부천,작,경기,23,일요일,12,18:33:00,2018
0.2,27,12,10:30:00,2018,기타,산66,벽교,보성,회천,전남,27,목요일,12,7:07:00,2018
0.01,27,12,11:30:00,2018,기타,산134,어옥,진주,미천,경남,27,목요일,12,10:18:00,2018
0.03,27,12,13:20:00,2018,기타,산46-4,대곡,가평,가평,경기,27,목요일,12,11:56:00,2018
0.02,28,12,17:30:00,2018,주택화재비화,산19-1,창곡,화성,팔탄,경기,28,금요일,12,15:30:00,2018
0.07,28,12,15:30:00,2018,주택화재비화,"산96,산98",신전,안동,북후,경북,28,금요일,12,13:12:00,2018
0.1,30,12,16:45:00,2018,기타,산11-1,금천,보성,율어,전남,30,일요일,12,14:15:00,2018
0.01,30,12,14:09:00,2018,기타,산77-1,구음,옥천,청성,충북,30,일요일,12,12:04:00,2018
0.05,29,12,16:00:00,2018,기타,839,,서,가수원,대전,29,토요일,12,14:37:00,2018
10,29,12,16:00:00,2018,주택화재비화,산57,하정,삼척,미로,강원,28,금요일,12,20:43:00,2018
0.01,30,12,12:58:00,2018,기타,산70외,가곡,상주,외서,경북,30,일요일,12,11:48:00,2018
0.09,28,12,13:55:00,2018,입산자실화,산94,고창,익산,웅포,전북,28,금요일,12,12:15:00,2018
0.3,28,12,6:30:00,2018,기타,산199,용정,남양주,진건,경기,28,금요일,12,3:42:00,2018
0.2,31,12,14:55:00,2018,기타,산17,화평,완주,화산,전북,31,월요일,12,12:50:00,2018
0.1,31,12,14:20:00,2018,기타,산143-1,홍대,순천,서,전남,31,월요일,12,13:05:00,2018
0.1,31,12,14:30:00,2018,쓰레기소각,산121,운천,구례,간전,전남,31,월요일,12,13:50:00,2018
0.03,31,12,21:44:00,2018,기타,산37,,사하,당리,부산,31,월요일,12,16:37:00,2018
0.2,10,1,18:30:00,2017,기타,산65,묵,용인,이동,경기,10,화요일,1,15:40:00,2017
0.5,11,1,22:00:00,2017,쓰레기소각,산103,기포,영양,청기,경북,11,수요일,1,20:25:00,2017
0.05,11,1,16:00:00,2017,기타,산8,현암,춘천,서,강원,11,수요일,1,14:22:00,2017
0.02,16,1,14:15:00,2017,쓰레기소각,산83,오색,양양,서,강원,16,월요일,1,13:39:00,2017
0.06,15,1,17:00:00,2017,입산자실화,산1-1,속달,군포,군포,경기,15,일요일,1,11:55:00,2017
0.01,15,4,11:40:00,2019,입산자실화,산15-7,소월,경산,와촌,경북,15,월요일,4,10:55:00,2019
0.03,12,4,12:31:00,2019,쓰레기소각,산35,,중,목달,대전,12,금요일,4,12:15:00,2019
0.16,5,4,11:45:00,2019,입산자실화,산76-4,창포,포항,북,경북,5,금요일,4,9:24:00,2019
0.01,7,4,9:45:00,2019,기타,산68,,사하,감천,부산,7,일요일,4,9:14:00,2019
0.01,6,4,13:00:00,2019,입산자실화,산222-1,,동래,온천3,부산,6,토요일,4,11:39:00,2019
4,5,4,18:00:00,2019,기타,산65-1,장안,기장,장안,부산,5,금요일,4,2:02:00,2019
0.01,13,4,17:30:00,2019,기타,산113,,도봉,도봉,서울,13,토요일,4,13:46:00,2019
0.09,16,4,18:00:00,2019,입산자실화,126-2(임),송현,고성,현내,강원,16,화요일,4,11:44:00,2019
